restaurant_id,restaurant_name,country,city,user_rating_votes,user_aggregate_rating,cuisines,event_date,rating_text
18649486,The Drunken Botanist,1,Gurgaon,4765,4.4,"Continental, Italian, North Indian, Chinese",2019-03-06,Very Good
308322,Hauz Khas Social,1,New Delhi,13627,4.6,"Continental, American, Asian, North Indian, Chinese, Pizza, Biryani, Beverages",2019-03-29,Excellent
18856789,AIR- An Ivory Region,1,New Delhi,1819,4.1,"North Indian, Chinese, Continental, Asian",2019-04-10,Very Good
307374,AMA Cafe,1,New Delhi,3252,4.4,"Cafe, Juices",NA,Very Good
18238278,Tamasha,1,New Delhi,8112,4.4,"Finger Food, North Indian, Continental, Italian",NA,Very Good
18268712,Chili's Grill & Bar,1,Noida,3702,4.6,"Mexican, American, Italian, Burger",NA,Excellent
18198449,Punjabi Angithi,1,New Delhi,3613,4.7,"North Indian, Chinese, Momos, Rolls, Fast Food",NA,Excellent
18382360,Local,1,New Delhi,5694,4.3,"North Indian, Continental, Momos",2019-04-10,Very Good
18273624,Cafeteria & Co.,1,New Delhi,4229,4.5,"Continental, Mexican, Fast Food",NA,Excellent
18466951,Jungle Jamboree,1,Noida,2832,4.5,"North Indian, Continental, Chinese, BBQ",2019-01-21,Excellent
306046,SodaBottleOpenerWala,1,Gurgaon,3818,4.2,"Parsi, North Indian, Maharashtrian, Beverages, Bakery",NA,Very Good
18337893,The Luggage Room Kitchen And Bar,1,New Delhi,1622,4.5,"Italian, Chinese, Continental",2019-04-10,Excellent
18518483,Echoes Hudson Lane,1,New Delhi,2534,4.6,"Cafe, American, Chinese, Continental, North Indian, Italian",NA,Excellent
18246991,Odeon Social,1,New Delhi,5808,4.4,"Continental, American, Asian, North Indian, Momos, Beverages",2019-03-29,Very Good
8913,Pirates of Grill,1,Gurgaon,5760,4.9,"North Indian, Mughlai, Continental",NA,Skvělé
313256,The Junkyard Cafe,1,New Delhi,5512,4.5,"North Indian, Mediterranean, Asian, Salad, Momos",NA,Excellent
18562836,Diggin,1,New Delhi,2335,4.2,"Italian, Continental, Beverages",NA,Very Good
17953943,The Burger Club,1,New Delhi,2411,4.2,"Burger, Fast Food, Beverages",NA,Very Good
18258498,Chinese Kitchen,1,New Delhi,713,4.1,"Fast Food, Chinese, Momos",NA,Very Good
