car_park_no,update_datetime,capacity_H_lots,available_H_lots,capacity_C_lots,available_C_lots,capacity_Y_lots,available_Y_lots,capacity_L_lots,available_L_lots,capacity_S_lots,available_S_lots,capacity_M_lots,available_M_lots
HE12,2025-03-08T13:19:22,0,0,105,99,0,0,0,0,0,0,0,0
HLM,2025-03-08T13:19:36,0,0,583,110,0,0,0,0,0,0,0,0
RHM,2025-03-08T13:19:22,0,0,329,131,0,0,0,0,0,0,0,0
BM29,2025-03-08T13:19:22,0,0,97,0,0,0,0,0,0,0,0,0
Q81,2025-03-08T13:19:24,0,0,97,6,0,0,0,0,0,0,0,0
C20,2025-03-08T13:19:40,0,0,176,4,0,0,0,0,0,0,0,0
FR3M,2025-03-08T13:19:36,0,0,228,95,0,0,0,0,0,0,0,0
C32,2024-12-01T08:05:29,0,0,289,288,0,0,0,0,0,0,130,129
C6,2025-03-08T13:19:22,0,0,332,109,0,0,0,0,0,0,0,0
TG2,2025-03-08T13:19:48,0,0,273,128,0,0,0,0,0,0,0,0
BP1,2025-03-08T13:19:35,0,0,577,336,0,0,0,0,0,0,0,0
TG1,2025-03-08T13:19:45,0,0,133,96,0,0,0,0,0,0,0,0
TGM2,2025-03-08T13:19:48,0,0,189,142,0,0,0,0,0,0,0,0
TE14,2025-03-08T13:19:31,0,0,105,32,0,0,0,0,0,0,0,0
BM3,2025-03-08T13:19:33,0,0,5,0,0,0,0,0,0,0,0,0
BM9,2018-12-17T07:42:34,0,0,612,121,0,0,0,0,0,0,0,0
HG44,2025-03-08T13:19:51,0,0,155,0,0,0,0,0,0,0,0,0
HG64,2025-03-08T13:19:45,0,0,82,6,0,0,0,0,0,0,0,0
PM27,2025-03-08T13:19:05,0,0,326,180,0,0,0,0,0,0,0,0
PM28,2025-03-08T13:19:36,0,0,301,155,0,0,0,0,0,0,0,0
TM36,2025-03-08T13:18:23,0,0,225,123,0,0,0,0,0,0,0,0
TM37,2025-03-08T13:19:59,0,0,244,141,0,0,0,0,0,0,0,0
T50,2025-03-08T13:19:22,0,0,350,162,0,0,0,0,0,0,0,0
T51,2025-03-08T13:19:57,0,0,346,138,0,0,0,0,0,0,0,0
TM43,2025-03-08T13:19:40,0,0,247,139,0,0,0,0,0,0,0,0
T15,2025-03-08T13:19:53,0,0,30,2,0,0,0,0,0,0,0,0
T16,2025-03-08T13:19:54,0,0,109,50,0,0,0,0,0,0,0,0
T17,2025-03-08T13:19:52,0,0,228,43,0,0,0,0,0,0,0,0
T18,2025-03-08T13:19:56,0,0,81,0,0,0,0,0,0,0,0,0
B9,2025-03-08T13:19:43,0,0,213,145,0,0,0,0,0,0,0,0
B10,2025-03-08T13:19:53,0,0,516,267,0,0,0,0,0,0,0,0
B14,2018-10-29T09:18:49,0,0,208,61,0,0,0,0,0,0,0,0
WCB,2025-03-08T13:16:37,0,0,143,5,0,0,0,0,0,0,0,0
ACB,2025-03-08T13:19:23,0,0,93,17,0,0,0,0,0,0,0,0
CY,2025-03-08T13:19:23,0,0,28,0,0,0,0,0,0,0,0,0
AM46,2025-03-08T13:19:44,0,0,403,148,0,0,0,0,0,0,0,0
A12,2025-03-08T13:19:32,0,0,194,121,0,0,0,0,0,0,0,0
BE45,2025-03-08T13:19:27,0,0,363,168,0,0,0,0,0,0,0,0
BE39,2025-03-08T13:19:49,0,0,705,353,0,0,0,0,0,0,0,0
BE40,2019-06-18T10:58:35,0,0,339,201,0,0,0,0,0,0,0,0
Y79M,2025-03-08T13:19:48,0,0,453,296,0,0,0,0,0,0,0,0
CR29,2025-03-08T13:17:15,0,0,56,0,0,0,0,0,0,0,0,0
KLM,2025-03-08T13:19:04,0,0,345,190,0,0,0,0,0,0,0,0
SE34,2025-03-08T13:19:25,0,0,270,131,0,0,0,0,0,0,0,0
KB7,2025-03-08T13:18:57,0,0,65,0,0,0,0,0,0,0,0,0
SE31,2025-03-08T13:19:44,0,0,187,74,0,0,0,0,0,0,0,0
J56,2025-03-08T13:18:45,0,0,15,0,0,0,0,0,0,0,0,0
J57,2025-03-08T13:19:23,0,0,362,20,0,0,0,0,0,0,0,0
J57L,2025-03-08T13:19:23,0,0,13,0,0,0,0,0,0,0,0,0
J33,2025-03-08T13:19:19,0,0,129,68,0,0,0,0,0,0,0,0
J34,2025-03-08T13:19:06,0,0,123,76,0,0,0,0,0,0,0,0
BL8,2025-03-08T13:19:22,0,0,679,161,0,0,0,0,0,0,0,0
J36,2025-03-08T13:18:16,0,0,482,192,0,0,0,0,0,0,0,0
J54,2025-03-08T13:19:54,0,0,226,36,0,0,0,0,0,0,0,0
J55,2025-03-08T13:17:50,0,0,136,47,0,0,0,0,0,0,0,0
J43,2025-03-08T08:51:28,0,0,190,79,0,0,0,0,0,0,0,0
J46,2025-03-08T13:18:53,0,0,63,5,0,0,0,0,0,0,0,0
KB1,2025-03-08T13:19:37,0,0,239,66,0,0,0,0,0,0,0,0
GBM,2025-03-08T13:19:36,0,0,677,463,0,0,0,0,0,0,0,0
SE14,2025-03-08T13:19:24,0,0,187,82,0,0,0,0,0,0,0,0
SE50,2025-03-08T13:19:24,0,0,591,433,0,0,0,0,0,0,0,0
J40,2025-03-08T13:18:52,0,0,206,69,0,0,0,0,0,0,0,0
JM1,2025-03-08T13:19:19,0,0,268,181,0,0,0,0,0,0,0,0
J32,2025-03-08T13:19:19,0,0,199,99,0,0,0,0,0,0,0,0
A11,2025-03-08T13:19:45,0,0,410,209,0,0,0,0,0,0,0,0
TR1,2025-03-08T13:18:36,0,0,391,198,0,0,0,0,0,0,0,0
JBM,2025-03-08T13:19:39,0,0,328,242,0,0,0,0,0,0,43,24
TE2,2025-03-08T13:19:34,0,0,213,149,0,0,0,0,0,0,44,23
CR31,2025-03-08T13:19:31,0,0,87,2,0,0,0,0,0,0,0,0
J1,2025-03-08T13:18:51,0,0,368,204,0,0,0,0,0,0,0,0
J2,2025-03-08T13:18:43,0,0,200,136,0,0,0,0,0,0,0,0
J3,2025-03-08T13:18:36,0,0,308,200,0,0,0,0,0,0,0,0
T37,2025-03-08T13:19:57,0,0,1163,639,0,0,0,0,0,0,0,0
KB3,2025-03-08T13:19:15,0,0,149,41,0,0,0,0,0,0,0,0
KBM,2025-03-08T13:19:23,0,0,239,163,0,0,0,0,0,0,0,0
J4,2025-03-08T13:19:32,0,0,172,69,0,0,0,0,0,0,0,0
TGM1,2025-03-08T13:19:32,0,0,388,264,0,0,0,0,0,0,127,52
TG3,2025-03-08T13:19:31,0,0,208,131,0,0,0,0,0,0,0,0
TG6,2025-03-08T13:19:32,0,0,176,97,0,0,0,0,0,0,0,0
TG7,2025-03-08T13:19:32,0,0,362,144,0,0,0,0,0,0,0,0
CR30,2025-03-08T13:19:12,0,0,54,12,0,0,0,0,0,0,0,0
RCM,2025-03-08T13:19:12,0,0,151,21,0,0,0,0,0,0,0,0
EPM,2025-03-08T13:19:41,0,0,286,80,0,0,0,0,0,0,87,27
TGM3,2025-03-08T13:19:45,0,0,553,338,0,0,0,0,0,0,0,0
KB14,2025-03-08T13:19:25,0,0,58,0,0,0,0,0,0,0,0,0
J41,2025-03-08T13:18:55,0,0,350,171,0,0,0,0,0,0,0,0
JBM2,2025-03-08T13:19:34,0,0,144,70,0,0,0,0,0,0,68,30
J39,2025-03-08T13:19:26,0,0,250,115,0,0,0,0,0,0,0,0
J52,2025-03-08T13:19:56,0,0,626,326,0,0,0,0,0,0,0,0
J51,2025-03-08T13:19:27,0,0,655,441,0,0,0,0,0,0,0,0
J53,2025-03-08T13:19:23,0,0,215,77,0,0,0,0,0,0,0,0
T19,2025-03-08T13:18:45,0,0,881,474,0,0,0,0,0,0,0,0
J49,2025-03-08T13:19:34,0,0,922,695,0,0,0,0,0,0,0,0
J27,2025-03-08T13:19:13,0,0,291,131,0,0,0,0,0,0,0,0
TB14,2025-03-08T13:19:43,0,0,43,0,0,0,0,0,0,0,11,5
U19,2025-03-08T13:18:58,0,0,501,142,0,0,0,0,0,0,0,0
U6,2025-03-08T13:18:43,0,0,95,0,0,0,0,0,0,0,0,0
U45,2025-03-08T13:18:58,0,0,159,75,0,0,0,0,0,0,0,0
BBM7,2025-03-08T13:18:11,0,0,175,128,0,0,0,0,0,0,0,0
BE12,2025-03-08T13:19:36,0,0,459,49,0,0,0,0,0,0,0,0
HG41,2025-03-08T13:20:12,0,0,461,261,0,0,0,0,0,0,0,0
HG43,2025-03-08T13:19:59,0,0,487,294,0,0,0,0,0,0,0,0
MN1,2025-03-08T13:18:56,0,0,257,130,0,0,0,0,0,0,0,0
MNRM,2025-03-08T13:18:57,0,0,355,228,0,0,0,0,0,0,0,0
MN2,2025-03-08T13:19:27,0,0,303,158,0,0,0,0,0,0,0,0
C7,2025-03-08T13:19:24,0,0,30,0,0,0,0,0,0,0,0,0
C17,2025-03-08T13:16:42,1,0,46,0,20,7,0,0,0,0,0,0
C20M,2025-03-08T13:19:35,0,0,550,391,0,0,0,0,0,0,123,78
T41,2025-03-08T13:19:58,0,0,202,6,0,0,0,0,0,0,0,0
T42,2025-03-08T13:19:53,0,0,86,0,0,0,0,0,0,0,0,0
TM42,2025-03-08T13:19:53,0,0,261,158,0,0,0,0,0,0,0,0
J48,2025-03-08T13:19:54,0,0,745,419,0,0,0,0,0,0,0,0
BH1,2025-03-08T13:19:12,0,0,57,27,0,0,0,0,0,0,0,0
BH2,2025-03-08T13:19:14,0,0,47,26,0,0,0,0,0,0,0,0
BKE7,2025-03-08T13:15:43,0,0,168,119,0,0,0,0,0,0,0,0
BR5,2025-03-08T13:18:46,0,0,152,52,0,0,0,0,0,0,0,0
BRM3,2025-03-08T13:19:17,0,0,406,276,0,0,0,0,0,0,0,0
BRM4,2025-03-08T13:19:21,0,0,176,62,0,0,0,0,0,0,0,0
M16,2025-03-08T13:18:48,0,0,124,51,0,0,0,0,0,0,0,0
M20,2025-03-08T13:17:10,0,0,36,3,0,0,0,0,0,0,0,0
M35,2025-03-08T13:18:35,0,0,91,39,0,0,0,0,0,0,0,0
M36,2025-03-08T13:16:00,0,0,17,0,0,0,0,0,0,0,0,0
M37,2025-03-08T13:19:36,0,0,35,14,0,0,0,0,0,0,0,0
M38,2025-03-08T13:19:07,0,0,39,10,0,0,0,0,0,0,0,0
